epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,40.0372,1.47205,11.7467,0.61783,1.79124,1.60112,0.81847,1,0.995,0.597,0,0,0,0,1.68729,11.9309,0.60648,1.13479,2.70354,0.0002436,0.0002436,0.0002436
32,41.1904,3.16042,11.94,0.70601,1.12794,2.88658,0.81847,1,0.995,0.597,0,0,0,0,1.68729,11.9309,0.60648,1.13479,2.70354,0.000239444,0.000239444,0.000239444
33,42.557,3.04915,11.3488,0.50978,1.56783,2.71214,0.80665,1,0.995,0.597,0,0,0,0,1.50663,11.9306,0.60191,1.10841,2.52804,0.000234496,0.000234496,0.000234496
34,43.7587,1.60156,11.6053,0.60472,1.23492,2.39348,0.80665,1,0.995,0.597,0,0,0,0,1.50663,11.9306,0.60191,1.10841,2.52804,0.000228756,0.000228756,0.000228756
35,45.2924,1.46015,11.8445,0.96978,1.2396,1.67685,0.77752,1,0.995,0.6965,0,0,0,0,1.2783,11.9629,0.60494,1.02057,2.29219,0.000222224,0.000222224,0.000222224
36,46.5601,2.07536,11.6258,0.62438,1.0283,2.7318,0.77752,1,0.995,0.6965,0,0,0,0,1.2783,11.9629,0.60494,1.02057,2.29219,0.0002149,0.0002149,0.0002149
37,47.8541,1.6523,11.8,0.63452,1.86473,1.92996,0.83791,1,0.995,0.796,0,0,0,0,1.35354,11.9799,0.6082,1.06427,2.22493,0.000206784,0.000206784,0.000206784
38,49.1164,3.71869,11.7118,0.62352,2.74357,4.05623,0.83791,1,0.995,0.796,0,0,0,0,1.35354,11.9799,0.6082,1.06427,2.22493,0.000197876,0.000197876,0.000197876
39,50.3269,3.02147,11.1123,0.44429,1.37013,4.16929,0.87184,1,0.995,0.796,0,0,0,0,1.35172,11.9833,0.60173,1.13593,2.22907,0.000188176,0.000188176,0.000188176
40,51.6048,2.11573,11.6922,0.93564,1.2187,2.08512,0.87184,1,0.995,0.796,0,0,0,0,1.35172,11.9833,0.60173,1.13593,2.22907,0.000177684,0.000177684,0.000177684
41,53.1126,1.55518,11.8456,0.51244,0.79765,2.00062,0.8774,1,0.995,0.597,0,0,0,0,1.78349,11.9893,0.60074,1.11034,2.32055,0.0001664,0.0001664,0.0001664
42,54.3195,1.12022,11.6173,0.51732,0.70823,1.78716,0.8774,1,0.995,0.597,0,0,0,0,1.78349,11.9893,0.60074,1.11034,2.32055,0.000154324,0.000154324,0.000154324
43,55.6569,1.33399,11.5318,0.51288,1.26192,1.76545,0.87697,1,0.995,0.597,0,0,0,0,1.7854,11.994,0.59999,1.13819,2.3041,0.000141456,0.000141456,0.000141456
44,56.8083,1.31824,10.6722,0.40119,1.32621,2.34817,0.87697,1,0.995,0.597,0,0,0,0,1.7854,11.994,0.59999,1.13819,2.3041,0.000127796,0.000127796,0.000127796
45,58.1253,1.8395,10.7091,0.41186,1.47537,2.27856,0.83883,1,0.995,0.597,0,0,0,0,1.67391,11.9952,0.60043,1.21271,2.25782,0.000113344,0.000113344,0.000113344
46,59.3431,1.85724,10.8234,0.40989,1.35214,2.28954,0.83883,1,0.995,0.597,0,0,0,0,1.67391,11.9952,0.60043,1.21271,2.25782,9.81e-05,9.81e-05,9.81e-05
47,60.6129,1.04948,10.6281,0.4092,1.52901,2.08951,0.77594,1,0.995,0.597,0,0,0,0,1.66843,11.9915,0.59833,1.26024,2.28444,8.2064e-05,8.2064e-05,8.2064e-05
48,61.788,1.6359,11.6522,0.49305,1.23242,1.59853,0.77594,1,0.995,0.597,0,0,0,0,1.66843,11.9915,0.59833,1.26024,2.28444,6.5236e-05,6.5236e-05,6.5236e-05
49,63.2187,1.6273,11.3684,0.5896,0.99888,2.06085,0.69852,1,0.995,0.597,0,0,0,0,1.52623,11.9908,0.59765,1.25155,2.2489,4.7616e-05,4.7616e-05,4.7616e-05
50,64.529,0.97327,11.6687,0.4761,0.70281,1.85352,0.69852,1,0.995,0.597,0,0,0,0,1.52623,11.9908,0.59765,1.25155,2.2489,2.9204e-05,2.9204e-05,2.9204e-05
