epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7025.9,0.86094,1.07603,0.51611,0.86916,0.95359,0.91155,0.95064,0.73674,0.8725,0.83702,0.87168,0.5319,1.02043,1.6418,0.59584,0.86412,0.00103288,0.00103288,0.00103288
30,7205.2,0.83693,1.07922,0.50333,0.86418,0.95141,0.90858,0.95164,0.74843,0.90826,0.83714,0.88461,0.55755,1.01508,1.71327,0.59561,0.86354,0.00101873,0.00101873,0.00101873
31,7382.52,0.85564,1.08326,0.5099,0.86351,0.97067,0.9173,0.96158,0.76474,0.90011,0.85111,0.88461,0.58428,0.9646,1.6208,0.55929,0.86232,0.00100459,0.00100459,0.00100459
32,7560.08,0.85026,1.07137,0.51217,0.86408,0.96735,0.90989,0.95248,0.75093,0.88253,0.84482,0.87878,0.5588,0.97528,1.50601,0.56853,0.86605,0.00099044,0.00099044,0.00099044
33,7735.04,0.83194,1.04508,0.50129,0.86423,0.93839,0.8932,0.93994,0.72794,0.87872,0.83321,0.88956,0.60163,1.0547,1.56131,0.59808,0.87464,0.000976293,0.000976293,0.000976293
34,7909.62,0.85159,1.08146,0.50225,0.86439,0.97223,0.90897,0.95685,0.7585,0.89666,0.83513,0.87726,0.55291,0.9846,1.60778,0.5497,0.86204,0.000962146,0.000962146,0.000962146
35,8087.84,0.83184,1.07171,0.49588,0.86112,0.95934,0.92196,0.96266,0.77299,0.87631,0.84638,0.88544,0.56688,0.93812,1.49323,0.56657,0.8501,0.000947999,0.000947999,0.000947999
36,8262.23,0.84202,1.07456,0.49809,0.8612,0.95357,0.92133,0.96172,0.74757,0.88973,0.85135,0.88975,0.5819,0.98597,1.59412,0.55875,0.86176,0.000933851,0.000933851,0.000933851
37,8439.09,0.83495,1.0632,0.49529,0.86012,0.96687,0.91212,0.95803,0.76157,0.90513,0.82312,0.88002,0.55285,0.9678,1.74125,0.55189,0.85487,0.000919704,0.000919704,0.000919704
38,8617.8,0.82228,1.04352,0.48831,0.85635,0.96797,0.92232,0.95883,0.75313,0.8887,0.85231,0.87909,0.55953,0.98139,1.53215,0.53822,0.8585,0.000905557,0.000905557,0.000905557
39,8795.8,0.81916,1.07619,0.48571,0.86175,0.9583,0.91206,0.95378,0.74684,0.90603,0.8636,0.90699,0.59539,1.00271,1.43133,0.54571,0.86171,0.00089141,0.00089141,0.00089141
40,8968.74,0.81785,1.03307,0.48218,0.85623,0.97123,0.90085,0.95459,0.75299,0.89046,0.83252,0.88484,0.5794,0.97475,1.43828,0.54319,0.86245,0.000877263,0.000877263,0.000877263
41,9148.66,0.80045,1.00999,0.47051,0.85277,0.94384,0.9198,0.95672,0.75549,0.86472,0.86682,0.89572,0.59522,0.9542,1.46997,0.53051,0.8532,0.000863116,0.000863116,0.000863116
42,9324.39,0.81441,1.05015,0.4817,0.85768,0.96755,0.92501,0.95797,0.76568,0.89091,0.85074,0.88857,0.56686,0.96643,1.57855,0.5353,0.85988,0.000848969,0.000848969,0.000848969
43,9497.14,0.81222,1.03386,0.47621,0.85532,0.96297,0.92319,0.95991,0.77078,0.88921,0.84662,0.88697,0.58165,0.94914,1.51929,0.53493,0.85448,0.000834822,0.000834822,0.000834822
44,9674.89,0.79136,1.01598,0.47177,0.85491,0.96028,0.91734,0.9573,0.76734,0.90106,0.85619,0.89232,0.57529,0.98722,1.5219,0.538,0.85762,0.000820675,0.000820675,0.000820675
45,9851.96,0.80528,1.03247,0.47534,0.85597,0.95202,0.91677,0.95337,0.76429,0.88659,0.82323,0.86253,0.55628,0.94945,1.44971,0.53474,0.87368,0.000806528,0.000806528,0.000806528
46,10027.5,0.81799,1.05134,0.47591,0.8596,0.94616,0.93059,0.96107,0.76988,0.87189,0.85948,0.88684,0.56805,0.93915,1.48452,0.52303,0.85332,0.00079238,0.00079238,0.00079238
47,10204.7,0.79834,1.01587,0.47022,0.85338,0.96035,0.90821,0.95656,0.76798,0.87158,0.83237,0.86131,0.51655,0.92631,1.78846,0.52473,0.85557,0.000778233,0.000778233,0.000778233
48,10379.7,0.79458,1.02915,0.47095,0.85645,0.96655,0.89853,0.95383,0.75627,0.88473,0.83506,0.8757,0.56776,0.98314,1.56644,0.55041,0.86717,0.000764086,0.000764086,0.000764086
49,10552.7,0.79234,1.02984,0.4679,0.85217,0.97326,0.90322,0.95475,0.76558,0.88803,0.84251,0.88238,0.56468,0.94476,1.54458,0.52585,0.84902,0.000749939,0.000749939,0.000749939
50,10730.1,0.79331,1.03623,0.4669,0.85136,0.96928,0.89846,0.9536,0.76148,0.89387,0.82917,0.88054,0.58889,0.97796,1.51547,0.5422,0.86113,0.000735792,0.000735792,0.000735792
51,10905.1,0.78204,0.99683,0.45928,0.84974,0.97838,0.91228,0.96396,0.76589,0.90077,0.84571,0.88597,0.57433,0.93724,1.50862,0.51841,0.85207,0.000721645,0.000721645,0.000721645
52,11081.8,0.78479,1.00918,0.46259,0.85192,0.9664,0.90023,0.95135,0.75494,0.86369,0.83134,0.85889,0.54939,0.98697,1.56058,0.52919,0.85561,0.000707498,0.000707498,0.000707498
53,11257.4,0.78585,1.00958,0.46504,0.85408,0.9712,0.91185,0.96053,0.75873,0.90797,0.85353,0.89665,0.57914,0.96155,1.50485,0.52917,0.86346,0.000693351,0.000693351,0.000693351
54,11433.6,0.79876,0.99899,0.46037,0.85233,0.97017,0.9125,0.96172,0.78257,0.90231,0.84746,0.88831,0.59335,0.9075,1.52486,0.50147,0.8467,0.000679204,0.000679204,0.000679204
55,11611.2,0.76915,0.98361,0.45182,0.8518,0.96788,0.90594,0.95741,0.77669,0.89683,0.84315,0.89457,0.59691,0.92854,1.4225,0.52069,0.85137,0.000665057,0.000665057,0.000665057
56,11785.8,0.77759,1.00049,0.45477,0.849,0.95294,0.91319,0.95824,0.76906,0.87958,0.84508,0.88648,0.58133,0.92495,1.4801,0.50902,0.85017,0.000650909,0.000650909,0.000650909
57,11960.2,0.78,1.00616,0.46358,0.85174,0.97432,0.91646,0.96352,0.77646,0.89619,0.85993,0.89619,0.58605,0.93301,1.5335,0.51516,0.84893,0.000636762,0.000636762,0.000636762
58,12135.3,0.77368,0.99891,0.45167,0.85012,0.96256,0.91712,0.95606,0.76943,0.87695,0.83985,0.87186,0.54548,0.95882,1.62212,0.52844,0.8534,0.000622615,0.000622615,0.000622615
59,12309.1,0.78348,0.99827,0.45312,0.85104,0.97353,0.91376,0.95919,0.76643,0.89365,0.86062,0.88871,0.58243,0.99059,1.55433,0.51269,0.85849,0.000608468,0.000608468,0.000608468
60,12481.4,0.76521,0.98195,0.4473,0.84903,0.96411,0.91725,0.96698,0.77243,0.88884,0.84717,0.8947,0.58539,0.95941,1.49013,0.51056,0.8533,0.000594321,0.000594321,0.000594321
61,12656.6,0.75835,0.95663,0.44193,0.84759,0.96995,0.92305,0.96385,0.78093,0.88782,0.85763,0.9001,0.58914,0.94326,1.52036,0.50428,0.84705,0.000580174,0.000580174,0.000580174
62,12831.1,0.76633,0.97701,0.44637,0.84568,0.95854,0.92038,0.95981,0.77221,0.87719,0.8438,0.87834,0.56821,0.9299,1.54243,0.51545,0.85072,0.000566027,0.000566027,0.000566027
